event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
7,AL092021,22,005,22005,0,0,0,0,6264,6264,1905,1905,243239459.23194638,243239459.23194638
7,AL092021,22,007,22007,0,0,0,0,1347,1347,0,0,46021462.69174376,46021462.69174376
7,AL092021,22,033,22033,0,0,0,0,68,68,0,0,2005325.7805469022,2005325.7805469
7,AL092021,22,047,22047,0,0,0,0,104,104,0,0,1581835.3458795596,1581835.3458795599
7,AL092021,22,051,22051,0,0,0,0,258,258,573,573,94632644.90183583,94632644.90183584
7,AL092021,22,057,22057,0,0,0,0,4202,4202,1690,1690,270410010.5513541,270410010.5513541
7,AL092021,22,063,22063,5459,5459,0,0,11,11,2092,2092,134457115.60522717,134457115.60522717
7,AL092021,22,071,22071,0,0,0,0,60,60,0,0,2838191.774080571,2838191.7740805717
7,AL092021,22,075,22075,0,0,0,0,1715,1715,0,0,61702944.48259791,61702944.482597925
7,AL092021,22,087,22087,0,0,0,0,80,80,0,0,1572972.4395687748,1572972.4395687752
7,AL092021,22,089,22089,0,0,0,0,177,177,916,916,71969191.59205082,71969191.59205082
7,AL092021,22,093,22093,0,0,0,0,81,81,859,859,56880760.14806326,56880760.14806326
7,AL092021,22,095,22095,0,0,0,0,0,0,627,627,44173472.97044562,44173472.97044562
7,AL092021,22,099,22099,0,0,0,0,4,4,0,0,71992.59551431223,71992.59551431224
7,AL092021,22,101,22101,0,0,0,0,113,113,0,0,5090962.586200595,5090962.586200596
7,AL092021,22,103,22103,1542,1542,0,0,0,0,0,0,6707701.658808699,6707701.658808691
7,AL092021,22,105,22105,292,292,0,0,0,0,0,0,682934.8891334123,682934.8891334138
7,AL092021,22,109,22109,0,0,0,0,4593,4593,539,539,319826679.2504474,319826679.2504474
