fips,county,state,wua_scaled,wua_raw,repair_cost_sum_raw,repair_cost_sum_scaled,reconstruction_capacity,recovery_potential_months
22019,Calcasieu,LA,43859,42530,570215011.4103446,657721226.3341134,108.1666667,405.47611697828165
22011,Beauregard,LA,19746,14934,178965549.75999177,224827695.2102742,6.916666667,2854.843373356393
22079,Rapides,LA,7561,7561,62455443.626805626,83401168.19968256,19.91666667,379.6317990996432
48403,Sabine,TX,7182,5538,29853955.848991603,40048022.36890782,0.0,
22115,Vernon,LA,7168,7168,35490347.79386443,47294027.212742,2.166666667,3308.307691798722
22085,Sabine,LA,6320,6320,42326504.01748729,42326504.01748728,4.083333333,1547.7551021671638
22003,Allen,LA,5464,4108,129614301.94713208,172539442.12327558,3.833333333,1425.391304471773
22023,Cameron,LA,4886,4886,101599421.08295712,109296442.59977488,2.25,2171.555555555556
48361,Orange,TX,4293,4293,22158291.44045311,22158291.440453097,19.58333333,219.2170213139093
48351,Newton,TX,4114,3631,39278060.08381451,50173726.56332189,0.0,
22043,Grant,LA,3146,3146,19842730.816908494,19842730.816908497,0.416666667,7550.399993959681
22069,Natchitoches,LA,1742,1742,5503262.952056635,5503262.952056631,7.916666667,220.0421052538929
22053,Jefferson Davis,LA,1711,1444,35893055.34088048,48243966.988052905,5.75,297.5652173913044
22127,Winn,LA,1036,1036,9987774.914361978,9987774.914361978,0.083333333,12432.000049728002
22031,De Soto,LA,162,162,2062915.823698684,2062915.823698676,9.416666667,17.203539822399875
48419,Shelby,TX,87,87,440923.6444664088,440923.6444664082,0.083333333,1044.0000041760002
22081,Red River,LA,31,31,499481.1003113789,499481.1003113793,0.416666667,74.39999994048
48241,Jasper,TX,18,18,287345.3298949109,365895.7195985135,3.75,4.8
22039,Evangeline,LA,3,3,13104.241492908664,18697.848372770197,2.333333333,1.285714285897959
22001,Acadia,LA,1,1,4200.020269458119,5936.34911013245,11.41666667,1.0
